 names equipos
RB RWB" "AC Milan"
1106 "C. Kramer
CDM" "Borussia Mönchengladbach"
1107 "J. Locadia
ST LW LM" "VfL Bochum 1848"
1108 "W. Orban
CB" "RB Leipzig"
1109 "Carvajal
RB" "Real Madrid CF"
1110 "Portu
RW LW" "Real Sociedad"
1111 "R. Fredericks
RB RWB" "West Ham United"
1112 "L. Trossard
LM ST CAM" "Brighton & Hove Albion"
1113 "Insua
CB" "SD Huesca"
1114 "L. Vietto
LM CAM" "Al Shabab"
1115 "J. Veltman
CB RB RWB" "Brighton & Hove Albion"
1116 "A. Doucouré
CM CDM" Everton
1117 "E. Forsberg
CAM CF ST" "RB Leipzig"
1118 "A. Belotti
ST" "Torino F.C."
1119 "S. Mané
LW CF" Liverpool
1120 "Fabinho
CDM CB" Liverpool
1121 "S. Magnasco
RB LB" "Unión Española"
1122 "A. Rabiot
CM LM" Juventus
1123 "F. Schär
CB" "Newcastle United"
1124 "Otávio
RM LM" "FC Porto"
1125 "Lucas João
ST" Reading
1126 "E. Hysaj
LB RB" Lazio
1127 "T. Lawrence
LM ST CAM" "Derby County"
1128 "M. Meyer
CM CAM LM" "FC Midtjylland"
1129 "T. Strakosha
GK" Lazio
1130 "N. Süle
CB RB" "FC Bayern München"
1131 "A. Laporte
CB" "Manchester City"
1132 "R. Bazoer
CB CM" Vitesse
1133 "Alex Telles
LB" "Manchester United"
1134 "G. Zardes
ST" "Colorado Rapids"
1135 "Anderson Talisca
CF ST CAM" "Al Nassr"
1136 "Ricardo Horta
CF ST LW" "SC Braga"
1137 "R. Loftus-Cheek
CM RM" Chelsea
1138 "M. Willock
CM" "Salford City"
1139 "F. Angileri
LB LWB" "River Plate"
1140 "16
 G. Pasquale
LM" "Udinese Calcio"
1141 "09
 P. Maldini
CB" "AC Milan"
1142 "10
 F. Cannavaro
CB" Juventus
1143 "19
 R. van Persie
ST CAM" Feyenoord
1144 "13
 C. Metzelder
CB RB" "FC Schalke 04"
1145 "16
 Mikel Arteta
CM CDM" Arsenal
1146 "Joaquín
RM LM" "Real Betis Balompié"
1147 "Pepe
CB" "FC Porto"
1148 "Fernandinho
CDM" "Manchester City"
1149 "17
 E. Cambiasso
CM CDM" "Olympiacos CFP"
1150 "Sergio Ramos
CB" "Paris Saint-Germain"
1151 "R. Pasveer
GK" Ajax
1152 "Thiago Silva
CB" Chelsea
1153 "M. Neuer
GK" "FC Bayern München"
1154 "H. Lloris
GK" "Tottenham Hotspur"
1155 "E. Lamela
RW RM CAM" "Sevilla FC"
1156 "L. Schøne
CM CDM" "N.E.C. Nijmegen"
1157 "W. Reid
CB" "New Zealand"
1158 "Vieirinha
LB RB CB" PAOK
1159 "15
 R. Drenthe
RM LM CAM" "Kayseri Erciyesspor"
1160 "Willian
RM RW LW" Arsenal
1161 "S. Jovetić
ST CAM" "Hertha BSC"
1162 "A. Modeste
ST" "1. FC Köln"
1163 "Hao Junmin
CDM CM" "China PR"
1164 "M. Sissoko
CDM CM" Watford
1165 "J. Henderson
CM CDM" Liverpool
1166 "M. Arnautović
ST" Bologna
1167 "19
 Ramires
CDM" "Jiangsu FC"
1168 "20
 K. Honda
CAM CM" Vitesse
1169 "M. Balotelli
ST" "Adana Demirspor"
1170 "K. Walker
RB" "Manchester City"
1171 "A. Hernández
ST" "Club Atlético de San Luis"
1172 "Parejo
CM" "Villarreal CF"
1173 "Canales
RM CM LM" "Real Betis Balompié"
1174 "B. André
CDM CM" "LOSC Lille"
1175 "M. Antonio
ST" "West Ham United"
1176 "D. Blind
LB CB" Ajax
1177 "J. McAtee
CAM" "Manchester City"
1178 "M. Benita
RB RW" Feyenoord
1179 "M. Abline
ST" "Le Havre AC"
1180 "W. Sulaeman
RM" "Lechia Gdańsk"
1181 "M. De La Cruz
LB" "LDU Quito"
1182 "J. James
CM CAM" "Birmingham City"
1183 "C. Wilson
RWB CB" "Shrewsbury Town"
1184 "T. Steward
GK" Portsmouth
1185 "A. Tibidi
CF ST" "VfB Stuttgart"
1186 "J. Kiwior
CDM CB" Spezia
1187 "E. García
ST CF" "San Lorenzo de Almagro"
1188 "Fresneda
RB" "Real Valladolid CF"
1189 "A. Ramsey
CM" "Cheltenham Town"
1190 "A. Foti
CM RW CAM" "Eintracht Frankfurt"
1191 "J. Rich-Baghuelou
CB" "Accrington Stanley"
1192 "A. Bakayoko
CB" "AS Saint-Étienne"
1193 "N. Boateng
RW ST" Millwall
1194 "G. Carneiro
ST CF RW" "Liverpool Fútbol Club"
1195 "L. MacNaughton
CB" "Toronto FC"
1196 "A. Dony
LB LWB LM" "Sint-Truidense VV"
1197 "Leonardo Buta
LM LB" "SC Braga"
1198 "S. Castro
ST" "Vélez Sarsfield"
1199 "S. Kumbedi
RB" "Le Havre AC"
1200 "G. Koutsias
ST RW LW" PAOK
1201 "Luiz Júnior
GK" "Futebol Clube de Famalicão"
1202 "Marvin
RW RM RB" "Real Madrid CF"
1203 "A. Cambiaso
LWB LB RB" Genoa
1204 "R. Tagir
CB" "İstanbul Başakşehir FK"
1205 "M. Al-Tamari
RM RWB" "Oud-Heverlee Leuven"
1206 "N. Jackson
ST CAM LM" "Villarreal CF"
1207 "J. Ideho
LM RM CF" Arsenal
1208 "N. Castro
CM LW" "Newell's Old Boys"
1209 "D. Aceves
LB" Pachuca
1210 "B. Aguirre
RB LB RM" "Club Atlético Lanús"
1211 "Mingueza
CB RB" "FC Barcelona"
1212 "M. Vitík
CB RB" "AC Sparta Praha"
1213 "I. Matanović
ST" "FC St. Pauli"
1214 "A. Sima
RM ST" "Stoke City"
1215 "M. Diambou
CDM" "FC Red Bull Salzburg"
1216 "N. Dorgeles
CAM ST" "SV Ried"
1217 "N. Ohio
ST" "FK Austria Wien"
1218 "A. Sato
ST" "Tokushima Vortis"
1219 "Eom Ji Sung
RM RW" "GwangJu FC"
1220 "C. Sandra
CAM RW" "Club Brugge KV"
1221 "Kaio Jorge
ST" Juventus
1222 "E. Baggott
CB" "Ipswich Town"
1223 "M. Kjaergaard
CAM CM ST" "FC Red Bull Salzburg"
1224 "K. Schade
RM ST" "Sport-Club Freiburg"
1225 "A. Scott
CAM CM RM" "Bristol City"
1226 "G. Norambuena
RW LW" "Unión Española"
1227 "D. Yapi
ST" "Colorado Rapids"
1228 "D. Fomin
CM CDM" Russia
1229 "L. Mbete
CB" "Manchester City"
1230 "Gori
CM CAM" "RCD Espanyol de Barcelona"
1231 "Álex Suárez Cardero
CM CAM" "Real Oviedo"
1232 "W. Mikelbrencis
RWB" "FC Metz"
1233 "S. Raebiger
CM CAM" "RB Leipzig"
1234 "R. Popa
GK" "FC U Craiova 1948"
1235 "R. Ilie
CAM CM" "Rapid București"
1236 "Turrientes
CM CDM" "Real Sociedad B"
1237 "Karrikaburu
ST" "Real Sociedad B"
1238 "Serginho
LM RM RW" "GZT Giresunspor"
1239 "M. Faßbender
RM LM ST" "SV Meppen"
1240 "F. Stevanović
LM LW" "SC Heerenveen"
1241 "Renato Júnior
ST" "Portimonense SC"
1242 "S. Vrontis
CM RM CAM" Cyprus
1243 "L. Coulibaly
RW ST" "FC Nordsjælland"
1244 "A. Kamara
CM" "Borussia Dortmund"
1245 "M. Peart-Harris
CAM CM" Brentford
1246 "L. Hartjes
CDM CM" Feyenoord
1247 "Andrew
GK" "Gil Vicente FC"
1248 "Papu Mendes
ST" "Servette FC"
1249 "Vanderson
RB RM" "AS Monaco"
1250 "B. Locko
LB LWB" "Stade de Reims"
1251 "L. Thompson
CDM CM" "Derby County"
1252 "S. Babkin
CM" "FC Lokomotiv Moscow"
1253 "M. Viti
CB LB" Empoli
1254 "Llabrés
LM RM" "RCD Mallorca"
1255 "O. Gene
RWB" "Amiens SC"
1256 "I. Koné
CM" "Club de Foot Montréal"
1257 "E. Poku
RW ST" "AZ Alkmaar"
1258 "D. van der Kust
LB" "FC Utrecht"
1259 "F. Fofana
ST" PSV
1260 "C. Evans
CB" "Swansea City"
1261 "K. Ofori
LM RM CAM" "SC Paderborn 07"
1262 "I. Ndiaye
RM LM RW" "FC Luzern"
1263 "S. Alexandropoulos
CDM CM" "Panathinaikos FC"
1264 "Fer Niño
ST" "RCD Mallorca"
1265 "Nico Melamed
LM CAM RM" "RCD Espanyol de Barcelona"
1266 "L. Flach
CM CDM LB" "Philadelphia Union"
1267 "L. Morales
GK" "Club Atlético Lanús"
1268 "I. Kaboré
RWB RB" "ESTAC Troyes"
1269 "Matheus Nunes
CM" "Sporting CP"
1270 "L. Provod
CM LM RM" "SK Slavia Praha"
1271 "Arambarri
CB" "Real Sociedad B"
1272 "C. Campbell
CAM LW" "Wolverhampton Wanderers"
1273 "J. Bell
CM CDM" "Brøndby IF"
1274 "P. Wålemark
RW" Feyenoord
1275 "Francés
CB RB" "Real Zaragoza"
1276 "Reinier
CAM" "Borussia Dortmund"
1277 "M. Arezo
ST" "Granada CF"
1278 "Atienza
CM CDM" "SD Eibar"
1279 "J. Marshall-Rutty
RB RM" "Toronto FC"
1280 "R. Araki
CAM ST LM" "Kashima Antlers"
1281 "I. Nuhu
ST LW" "KAS Eupen"
1282 "R. Hatate
CM" Celtic
1283 "L. Lacroix
CB" "FC Metz"
1284 "M. Nuñez
CM RB" "Universidad Católica"
1285 "L. Samardžić
CAM CM" "Udinese Calcio"
1286 "21
 A. Papetti
CB" Brescia
1287 "P. Abraham
LM ST" "FC Groningen"
1288 "A. Kuol
ST" "SV Sandhausen"
1289 "B. Chrisene
LB LWB" "Aston Villa"
1290 "W. Fish
CB" "Manchester United"
1291 "R. Staunton
CB LB" "Bradford City"
1292 "M. Dárdai
CB" "Hertha BSC"
1293 "M. Tillman
ST" "FC Bayern München"
1294 "K. de la Fuente
LW LM" "Olympique de Marseille"
1295 "T. Dolan
RW ST" "Blackburn Rovers"
1296 "L. Ugochukwu
CM CDM" "Stade Rennais FC"
1297 "C. Watts
CM CDM" "Crawley Town"
1298 "L. Gourna
CDM CM" "AS Saint-Étienne"
1299 "A. Theate
CB LB" Bologna
1300 "Alex Baena
CM RM ST" "Girona FC"
1301 "B. Nsimba
ST RM LM" "Royal Antwerp FC"
1302 "F. Flores
CB" "San Lorenzo de Almagro"
1303 "M. Carreón
CAM" "Club Universidad Nacional"
1304 "J. Kuchta
ST CAM" "Czech Republic"
1305 "S. Mara
ST" "FC Girondins de Bordeaux"
1306 "R. Calafiori
LB LM" Genoa
1307 "S. Naveda
CDM CM" "Club América"
1308 "L. Martínez Dupuy
ST" "Rosario Central"
1309 "G. Infantino
RM LM CAM" "Rosario Central"
1310 "A. Amoo
RM" "F.C. København"
1311 "B. Arrey-Mbi
CB" "1. FC Köln"
1312 "E. Dinkçi
RW CF" "SV Werder Bremen"
1313 "C. Özkacar
CB" "Oud-Heverlee Leuven"
1314 "E. Matazo
CM CDM" "AS Monaco"
1315 "K. Aktürkoğlu
LM RM" "Galatasaray SK"
1316 "Toti
CB" "Wolverhampton Wanderers"
1317 "Zarraga
CM CAM RM" "Athletic Club de Bilbao"
1318 "J. Lepenant
CDM CM" "Stade Malherbe Caen"
1319 "A. Çankaya
CB CDM RB" "Göztepe SK"
1320 "K. Goden
RB RM" "TSV 1860 München"
1321 "A. Gallo
LB LM" Lecce
1322 "N. Aguerd
CB" "Stade Rennais FC"
1323 "B. Yáñez
LM LW" "Unión Española"
1324 "K. Sowah
RW CAM" "AZ Alkmaar"
1325 "A. Moreno
CM CDM" "Racing Club"
1326 "D. Palacios
LB" "Los Angeles FC"
1327 "F. Becker
CM CDM" "FC St. Pauli"
1328 "N. Wood
CB" Middlesbrough
1329 "J. Teze
RB CB" PSV
1330 "19
 O. Abdulrahman
CAM" "Al Hilal"
1331 "F. Krüger
LM ST RM" "DSC Arminia Bielefeld"
1332 "F. Domínguez
RM RWB RB" "Racing Club"
1333 "S. Janneh
ST" "Shrewsbury Town"
1334 "J. Cavallo
LB CDM" "Adelaide United"
1335 "Á. Barreal
RM LM" "FC Cincinnati"
1336 "J. Bennett
LW" "Tottenham Hotspur"
1337 "H. White
CDM LB" "Tottenham Hotspur"
1338 "M. Fagan-Walcott
CB" "Tottenham Hotspur"
1339 "J. Bowden
CM CDM" "Tottenham Hotspur"
1340 "Adrià Pedrosa
LB" "RCD Espanyol de Barcelona"
1341 "Iñaki Peña
GK" "Galatasaray SK"
1342 "B. Caicedo
LB LM" "Independiente del Valle"
1343 "N. Fadiga
RB" "Heracles Almelo"
1344 "L. Dajaku
RM" Sunderland
1345 "R. Sottil
LW LM RW" Fiorentina
1346 "D. Revan
CB LB" "Aston Villa"
1347 "F. Almada
CB RB" "Rosario Central"
1348 "D. Sorescu
RM CF RB" "Raków Częstochowa"
1349 "Fidalgo
CAM CDM CM" "Club América"
1350 "T. Buchanan
RM LM" "Club Brugge KV"
1351 "D. Jones
LB RB" "New England Revolution"
1352 "O. Holm
CM" "Vålerenga Fotball"
1353 "F. Nmecha
CAM CM" "VfL Wolfsburg"
1354 "J. Ramsey
CM CAM" "Aston Villa"
1355 "P. Ševčík
CM RM CDM" "SK Slavia Praha"
1356 "A. Palaversa
CM CDM" "KV Kortrijk"
1357 "Unai Vencedor
CM CDM" "Athletic Club de Bilbao"
1358 "Marcos Antonio
CM CDM" "Shakhtar Donetsk"
1359 "F. Mambimbi
ST LM RM" "BSC Young Boys"
1360 "Kim Tae Hwan
RWB RM" "Suwon Samsung Bluewings"
1361 "Thierry Correia
RB RWB RM" "Valencia CF"
1362 "C. Petrila
LW RW ST" "CFR Cluj"
1363 "Song Min Kyu
LM CAM" "Jeonbuk Hyundai Motors"
1364 "T. Ballo
RM CAM" Chelsea
1365 "Z. Duncan
CM" "Aarhus GF"
1366 "Gustavo Assunção
CDM CM" "Futebol Clube de Famalicão"
1367 "M. Taferner
CM" "RZ Pellets Wolfsberger AC"
1368 "T. Anjorin
CAM CM" "Huddersfield Town"
1369 "E. Mosquera
LM" "Atlanta United"
1370 "B. Cabango
CB" "Swansea City"
1371 "O. Pendlebury
CM CDM" "Wycombe Wanderers"
1372 "B. Ojeda
CM CDM" "Nottingham Forest"
1373 "B. Jackson
LB LWB" "Doncaster Rovers"
1374 "L. Greiml
CB" "SK Rapid Wien"
1375 "J. Stanišić
RB CB" "FC Bayern München"
1376 "T. Holeš
CDM CB" "SK Slavia Praha"
1377 "Jean Lucas
CM CDM" "AS Monaco"
1378 "Tiago Dantas
CM CAM" "CD Tondela"
1379 "Samuel Lino
LW ST RW" "Gil Vicente FC"
1380 "J. Mbom
CM RWB CDM" "SV Werder Bremen"
1381 "20
 P. Mahlambi
CAM RW CF" "South Africa"
1382 "A. Preciado
LM RM" "Santos Laguna"
1383 "J. Þorsteinsson
LW" "Aarhus GF"
1384 "Nolaskoain
CB CM CDM" "SD Amorebieta"
1385 "C. Dagba
RB" "Paris Saint-Germain"
1386 "D. Martínez
CB LB" "River Plate"
1387 "T. Belmonte
CM CDM" "Club Atlético Lanús"
1388 "P. Schuurs
CB" Ajax
1389 "R. Hoffmann
GK" Sunderland
1390 "S. Barreto
CB" "Club Atlético Independiente"
1391 "E. Watt
CDM" "Bradford City"
1392 "Igor Silva
RWB" "FC Lorient"
1393 "K. Bistrović
CDM CM" "Fatih Karagümrük S.K."
1394 "H. Evjen
RW CM" "AZ Alkmaar"
1395 "Ferro
CB" "Hajduk Split"
1396 "Stephen Eustáquio
CDM CM" "FC Porto"
1397 "L. Cacace
LWB LB LM" Empoli
1398 "A. Dovbyk
ST" Ukraine
1399 "C. Cásseres Jr
CDM CM RM" "New York Red Bulls"
1400 "D. Caicedo
LM RM CF" "Vancouver Whitecaps FC"
1401 "G. Bello
LB LWB LM" "DSC Arminia Bielefeld"
1402 "M. Frendrup
CDM CM" Genoa
1403 "A. Saelemaekers
RW RM" "AC Milan"
1404 "I. Louza
CM CDM" Watford
1405 "A. Appiah
RM LM RW" "Unión Deportiva Almería"
1406 "S. Ndlovu
CM LM LB" "Orlando Pirates"
1407 "N. Kirwan
RB LB RM" "New Zealand"
1408 "L. Romo
CM CDM" "CF Monterrey"
1409 "Teng Shangkun
GK" "Tianjin Jinmen Tiger FC"
1410 "E. Mwepu
CM CAM CDM" "Brighton & Hove Albion"
1411 "K. Agudelo
RW CM CAM" Spezia
1412 "Josep Martínez
GK" "RB Leipzig"
1413 "D. Valencia
ST RW LW" "Universidad Católica"
1414 "T. Richards
CAM CM" "Birmingham City"
1415 "B. Williams
LB RB" "Norwich City"
1416 "E. Loiodice
CDM CM" "Unión Deportiva Las Palmas"
1417 "De Frutos
RM LM" "Levante Unión Deportiva"
1418 "L. Openda
ST" Vitesse
1419 "M. Camara
CDM CM" "AS Saint-Étienne"
1420 "K. Scherpen
GK" "KV Oostende"
1421 "S. Mamba
ST RW LW" "F.C. Hansa Rostock"
1422 "N. Burkart
ST CF LW" "Sport-Club Freiburg"
1423 "S. High
CM" "Huddersfield Town"
1424 "A. Lunin
GK" "Real Madrid CF"
1425 "B. Mendy
CDM CB CM" "Angers SCO"
1426 "U. Račić
CM CDM" "Valencia CF"
1427 "A. Rrahmani
CB" Napoli
1428 "A. Idah
ST" "Norwich City"
1429 "M. Shaparenko
CM CAM" "Dynamo Kyiv"
1430 "V. Mykolenko
LB LWB" Everton
1431 "M. Camara
CB" "BSC Young Boys"
1432 "V. Coufal
RB RWB" "West Ham United"
1433 "J. Bogle
RWB RB" "Sheffield United"
1434 "K. Goden
RB RM" "TSV 1860 München"
1435 "A. Gallo
LB LM" Lecce
1436 "N. Aguerd
CB" "Stade Rennais FC"
1437 "B. Yáñez
LM LW" "Unión Española"
1438 "K. Sowah
RW CAM" "AZ Alkmaar"
1439 "A. Moreno
CM CDM" "Racing Club"
1440 "B. Woodburn
LW CM" "Heart of Midlothian"
1441 "Aarón
LWB LB LM" "1. FSV Mainz 05"
1442 "T. O'Connor
CDM CM" "Wrexham AFC"
1443 "R. Koch
CB CDM" "Leeds United"
1444 "G. Arteaga
LB" "KRC Genk"
1445 "J. Pavlenka
GK" "SV Werder Bremen"
1446 "J. Tanganga
RWB RB CB" "Tottenham Hotspur"
1447 "L. Fomba
CDM CM" "Nîmes Olympique"
1448 "A. Tanaka
CDM CM" "Fortuna Düsseldorf"
1449 "T. Souček
CDM CM" "West Ham United"
1450 "I. Angulo
RW LW" "Portimonense SC"
1451 "G. Gudmundsson
LB LM" "LOSC Lille"
1452 "Y. Maleh
CM" Fiorentina
1453 "A. Dreyer
RW CAM" "FC Midtjylland"
1454 "H. Wolf
CAM LW LWB" "Swansea City"
1455 "L. Blessing
CM RB" "Los Angeles FC"
1456 "K. Dewsbury-Hall
CM CDM" "Leicester City"
1457 "Nouhou
CB LB" "Seattle Sounders FC"
1458 "A. Sampsted
RB" "FK Bodø/Glimt"
1459 "P. Cutrone
ST" Empoli
1460 "K. Matsubara
LB LWB" "Sint-Truidense VV"
1461 "N. Kirby
LW CM" "Crystal Palace"
1462 "U. Antuna
RM LM RW" "Cruz Azul"
1463 "J. Cumming
GK" "Milton Keynes Dons"
1464 "D. Sterling
RB LB" Blackpool
1465 "M. Demiral
CB" Atalanta
1466 "A. Sigurðsson
CF CM" "Venezia FC"
1467 "K. Diatta
RM" "AS Monaco"
1468 "F. Coman
LW ST" "FCSB (Steaua)"
1469 "D. Gazdag
CAM CM" "Philadelphia Union"
1470 "P. Pellegri
ST" "Torino F.C."
1471 "R. Harper
CDM CM" "Crewe Alexandra"
1472 "R. Schallenberg
CDM CM" "SC Paderborn 07"
1473 "N. Cozza
CB LB" "Montpellier Hérault SC"
1474 "T. Magloire
CB" "Northampton Town"
1475 "Óscar
CM RM LM" "Getafe CF"
1476 "R. Hack
CAM LM CF" "DSC Arminia Bielefeld"
1477 "P. Płacheta
LM" "Norwich City"
1478 "Jordi Mboula
RM RW LM" "Estoril Praia"
1479 "J. Angulo
CB LB LWB" "Tigres U.A.N.L."
1480 "M. Cuisance
CM CAM CDM" "Venezia FC"
1481 "E. Zhegrova
RM LM" "LOSC Lille"
1482 "O. Kabak
CB" "Norwich City"
1483 "J. Arp
ST RW LW" "Holstein Kiel"
1484 "L. Plogmann
GK" "SV Werder Bremen"
1485 "M. Gabbia
CB" "AC Milan"
1486 "L. Zidane
GK" "Rayo Vallecano"
1487 "T. Tillman
CM CAM LW" "SpVgg Greuther Fürth"
1488 "Ander Guevara
CM" "Real Sociedad"
1489 "S. Baptiste
CM CDM CAM" Brentford
1490 "M. Ojeda
RM LM" "Godoy Cruz"
1491 "Y. Atal
RB RM" "OGC Nice"
1492 "C. Coventry
CM" "Milton Keynes Dons"
1493 "Unai Núñez
CB" "Athletic Club de Bilbao"
1494 "J. Carranza
ST" "Philadelphia Union"
1495 "M. Payero
CM" Middlesbrough
1496 "T. Chancalay
LM LW RM" "Racing Club"
1497 "G. Marsh
CDM" "AFC Wimbledon"
1498 "I. Ganago
ST" "Racing Club de Lens"
1499 "J. Mbom
CM RWB CDM" "SV Werder Bremen"
1500 "J. Lucumí
CB" "KRC Genk"
1501 "A. Ounas
RW ST RM" Napoli
1502 "K. Edwards
LW LM" "Ipswich Town"
1503 "R. Nelson
RW LW" Feyenoord
1504 "L. Kelly
CB LB" "AFC Bournemouth"
1505 "I. Diallo
LB CB" "AC Ajaccio"
1506 "J. Justin
LB RB" "Leicester City"
1507 "I. Diop
CB" "West Ham United"
1508 "Curro Sánchez
RM CAM CM" "Unión Deportiva Almería"
1509 "K. Davis
ST" "Nottingham Forest"
1510 "J. Harrison
LM RM" "Leeds United"
1511 "R. Laryea
RWB RB LB" "Nottingham Forest"
1512 "A. Harit
LM CAM CM" "Olympique de Marseille"
1513 "D. James
LM RM ST" "Leeds United"
1514 "S. Ascacíbar
CDM CM" "Hertha BSC"
1515 "E. Adams
CM CAM" "Forest Green Rovers"
1516 "M. Arambarri
CDM CM" "Getafe CF"
1517 "J. Stage
CM RM" "F.C. København"
1518 "J. Dasilva
LB LWB RM" "Bristol City"
1519 "K. Endo
LM LW" "1. FC Union Berlin"
1520 "C. Mepham
CB RB LB" "AFC Bournemouth"
1521 "Y. Suzuki
ST" "Kashima Antlers"
1522 "A. Diawusie
RM LM RW" "SG Dynamo Dresden"
1523 "J. Koroma
LW ST" "Huddersfield Town"
1524 "J. Hauge
LM RM" "Eintracht Frankfurt"
1525 "S. Villa
LW RW" "Boca Juniors"
1526 "G. Escobar
LB LWB" "UD Ibiza"
1527 "Luiz Araújo
RM LM" "Atlanta United"
1528 "H. Ito
CB CDM" "VfB Stuttgart"
1529 "S. Breitkreuz
CB RB" "SSV Jahn Regensburg"
1530 "Marcão
CB" "Galatasaray SK"
1531 "O. Bogle
ST" "Hartlepool United"
1532 "Gedson Fernandes
CM" "Çaykur Rizespor"
1533 "J. Mæhle
RWB LM RM" Atalanta
1534 "C. Songkrasin
CF CAM CM" "Kawasaki Frontale"
1535 "Jair Amador
CB" "Real Zaragoza"
1536 "G. Hamer
CM CDM" "Coventry City"
1537 "Y. Eteki
CDM CM" "Granada CF"
1538 "Y. Wissa
LW ST LM" Brentford
1539 "J. Rasmussen
CB" Vitesse
1540 "F. Müller
GK" "VfB Stuttgart"
1541 "C. Fassnacht
RM LM" "BSC Young Boys"
1542 "21
 L. Ndukwu
CAM" "Leicester City"
1543 "P. Rosario
CDM CM CB" "OGC Nice"
1544 "C. Früchtl
GK" "FC Bayern München"
1545 "M. Lazzari
RB RWB RM" Lazio
1546 "S. Özcan
CDM CM" "1. FC Köln"
1547 "V. Nelsson
CB" "Galatasaray SK"
1548 "G. Til
CAM" Feyenoord
1549 "Lucas Veríssimo
CB" "SL Benfica"
1550 "E. Ampadu
CDM CM CB" "Venezia FC"
1551 "B. Thomas-Asante
RW ST" "Salford City"
1552 "C. Ünder
RW RM" "Olympique de Marseille"
1553 "M. Gibbs-White
CAM RM" "Sheffield United"
1554 "K. Duncan
RB RWB RM" "KV Oostende"
1555 "Reinildo
LB CB" "Atlético de Madrid"
1556 "B. Woodburn
LW CM" "Heart of Midlothian"
1557 "Aarón
LWB LB LM" "1. FSV Mainz 05"
1558 "T. O'Connor
CDM CM" "Wrexham AFC"
1559 "R. Koch
CB CDM" "Leeds United"
1560 "J. Bamba
LM" "LOSC Lille"
1561 "J. Gomez
CB RB" Liverpool
1562 "Cristo González
ST CF" "Real Valladolid CF"
1563 "E. Skhiri
CDM CM" "1. FC Köln"
1564 "Rúben Lameiras
RW" "Vitória de Guimarães"
1565 "A. Golovin
CAM RM LM" "AS Monaco"
1566 "P. Gallese
GK" "Orlando City Soccer Club"
1567 "J. Augustin
ST" "FC Nantes"
1568 "K. Iheanacho
ST CF" "Leicester City"
1569 "20
 Thiago Maia
CDM CM" "LOSC Lille"
1570 "S. McKenna
CB" "Nottingham Forest"
1571 "J. Gallardo
LB LM LW" "CF Monterrey"
1572 "F. Dimarco
LWB LB LM" Inter
1573 "U. Çakır
GK" Trabzonspor
1574 "K. Dowell
CAM RM" "Norwich City"
1575 "M. Coco
RM LM RW" "FC Nantes"
1576 "H. Preciado
ST LM" "Santos Laguna"
1577 "T. Minamino
CF LW RW" Liverpool
1578 "J. Bacuna
CM CAM" "Birmingham City"
1579 "P. Diop
CDM CM" "Olympique Lyonnais"
1580 "J. St. Juste
CB RB" "1. FSV Mainz 05"
1581 "Gelson Martins
RM LM" "AS Monaco"
1582 "Álex Remiro
GK" "Real Sociedad"
1583 "L. Tousart
CDM CM" "Hertha BSC"
1584 "M. Mittelstädt
LB LM" "Hertha BSC"
1585 "E. Konsa
CB" "Aston Villa"
1586 "R. Curtis
LM ST" Portsmouth
1587 "C. Carter-Vickers
CB" Celtic
1588 "R. Holding
CB" Arsenal
1589 "H. Choudhury
CDM CM" "Leicester City"
1590 "D. Iversen
GK" "Preston North End"
1591 "F. Mendy
LB" "Real Madrid CF"
1592 "K. Dolberg
ST" "OGC Nice"
1593 "O. Idrissi
LW LM" "Cádiz CF"
1594 "Robert Sanchéz
GK" "Brighton & Hove Albion"
1595 "L. García
RW" "AEK Athens"
1596 "L. de la Torre
CM CDM LM" "Heracles Almelo"
1597 "H. McKirdy
ST RW" "Swindon Town"
1598 "Y. Rahmani
LM" "SD Eibar"
1599 "L. Klünter
CB RB" "Hertha BSC"
1600 "B. Heynen
CM CDM" "KRC Genk"
1601 "Mario Hermoso
CB LB" "Atlético de Madrid"
1602 "N. Benedetti
CAM LM" "Mazatlán Futbol Club"
1603 "A. Barboza
CB" "Club Libertad"
1604 "R. Krunić
CM CAM" "AC Milan"
1605 "Córdoba
RM LM" "Go Ahead Eagles"
1606 "Edu Expósito
CAM" "SD Eibar"
1607 "A. Munksgaard
RB" "Aarhus GF"
1608 "A. Bardakcı
CB" "İttifak Holding Konyaspor"
1609 "S. Serdar
CM CDM CAM" "Hertha BSC"
1610 "Everton Andrão
CDM CM" Fluminense
1611 "Guilson Paiva
RM RW" Flamengo
1612 "Prazeracinho
LW" Flamengo
1613 "Ronaldo Cabrais
CAM RM" Grêmio
1614 "M. Gaćinović
CAM CM" "Panathinaikos FC"
1615 "T. Kadewere
RW ST" "Olympique Lyonnais"
1616 "M. Butcher
CM CDM" "Accrington Stanley"
1617 "J. Lucumí
CB" "KRC Genk"
1618 "A. Ounas
RW ST RM" Napoli
1619 "K. Edwards
LW LM" "Ipswich Town"
1620 "S. Gigot
CB" "Spartak Moskva"
1621 "C. Tolisso
CM CDM" "FC Bayern München"
1622 "J. Coleman
GK" Rochdale
1623 "N. Figal
CB RB" "Boca Juniors"
1624 "M. Borja
ST" "Junior FC"
1625 "A. Rebić
LW ST LM" "AC Milan"
1626 "M. Harness
RM CAM" Portsmouth
1627 "S. Adekugbe
LB" "Atakaş Hatayspor"
1628 "D. Phillips
GK" "Cardiff City"
1629 "L. Waldschmidt
CF ST" "VfL Wolfsburg"
1630 "H. Hateboer
RWB RB RM" Atalanta
1631 "D. Brooks
